symbol,industry,sector
BALAMINES,Chemicals,Chemicals
BALAXI,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
BALKRISHNA,Trading,Services
BALKRISIND,Tyres,Auto
BALMLAWRIE,Diversified - Large,Miscellaneous
BALPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
BALRAMCHIN,Sugar,Fmcg
BALUFORGE,Castings & Forgings,Industrials
BANARBEADS,Glass & Glass Products,Building Materials
BANARISUG,Sugar,Fmcg
BANCOINDIA,Auto Ancillaries,Auto
BANDHANBNK,Banks - Private Sector,Bank
BANG,Trading,Textiles
BANKA,Miscellaneous,Miscellaneous
BANKBARODA,Banks - Public Sector,Bank
BANKINDIA,Banks - Public Sector,Bank
BANSALWIRE,Steel - Medium / Small,Metals & Mining
BANSWRAS,Textiles - Spinning - Synthetic / Blended,Textiles
BASF,Chemicals,Chemicals
BASML,Textiles - Cotton/Blended,Textiles
BATAINDIA,Leather / Leather Products,Consumer Discretionary
BATLIBOI,Engineering,Industrials
BAYERCROP,Pesticides / Agrochemicals - Multinational,Chemicals
BBL,Electric Equipment,Industrials
BBOX,Computers - Software - Medium / Small,I.T
BBTC,Auto Ancillaries,Auto
BBTCL,Packaging,Industrials
BCG,Computers - Software - Medium / Small,I.T
BCLIND,Breweries & Distilleries,Fmcg
BCONCEPTS,Trading,Consumer Discretionary
BCPL,Engineering - Turnkey Services,Industrials
BDL,Engineering,Aerospace & Defence
BEARDSELL,Plastics Products,Plastic Products
BECTORFOOD,Food - Processing - Indian,Fmcg
BEDMUTHA,Mining / Minerals / Metals,Metals & Mining
BEEKAY,Steel - Medium / Small,Metals & Mining
BEL,Electronics - Components,Aerospace & Defence
BELLACASA,Textiles - Products,Consumer Discretionary
BELRISE,Auto Ancillaries,Auto
BEML,Engineering,Aerospace & Defence
BENGALASM,Finance & Investments,Financials
BEPL,Petrochemicals,Energy
BERGEPAINT,Paints / Varnishes,Building Materials
BESTAGRO,Pesticides / Agrochemicals - Indian,Chemicals
BETA,Pharmaceuticals - Indian - Bulk Drugs,Healthcare
BFINVEST,Finance & Investments,Financials
